vendor_id,vendor_name,vendor_region,lead_time_days
1,SKF Industrial Supply,,5
2,Timken Distribution,West,17
3,Applied Bearings Co,West,9
4, motion components llc ,North,15
5,Industrial Belt & Drive,,3
6,Precision Hydraulics,,10
7,Global Pneumatics,North,13
8, midwest power transmission ,North,3
9,Continental Industrial Parts,West,9
10,Southern Bearing Supply,NORTH,3
11,Allied Motion Supply,,17
12,Vector Industrial,south ,10
13,Prime Mechanical Supply,NORTH,10
14,Atlantic Industrial,,3
15,Delta Equipment Supply,south ,6
16,Omega Components,NORTH,12
17,Northern Drives,,16
18,Sunbelt Bearings,NORTH,9
19,Tri-State Industrial,south ,18
20,Liberty Mechanical Supply,south ,15
